SITE_ID,LATITUDE,LONGITUDE,SITE_NAME,NOTES
10000067,-19.257958,146.733961,"Site 1 34-38 Webb Dr BOHLE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000068,-19.25715,146.734078,"Site 2 34-38 Webb Dr BOHLE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000069,-19.256447,146.734242,"Site 3 34-38 Webb Dr BOHLE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000070,-31.901051,115.917644,"30 Embleton Ave EMBLETON","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000073,-33.443494,151.328519,"Point Clare Public School Cnr Brisbane Water Dr and Takari Ave POINT CLARE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000074,-26.778261,150.690619,"DGPS Site Warrego Hwy 8km SE of CHINCHILLA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000075,-35.292928,148.211089,"1 Gocup Rd TUMUT","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000077,-16.509786,145.461872,"87-109 Port Douglas Rd PORT DOUGLAS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000079,-28.705778,151.787078,"846 Nundubbermere Rd STANTHORPE","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000080,-36.884244,144.210728,"Ravenswood Interchange Midland Hwy BENDIGO","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000083,-27.80145,153.2486,"Construction Site River Run Circuit ORMEAU HILLS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000086,-36.355026,146.323689,"62-68 Ovens St Wangaratta","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000087,-36.36583,146.304625,"Newman St Wangaratta","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000089,-33.719478,150.916725,"View Street THE PONDS","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000091,-37.8222,144.9661,"Oaks Southbank 57-61 City Road SOUTHBANK","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000095,-37.801719,144.735611,"1 Doriemus Dr TRUGANINA","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000098,-27.758156,153.232214,"32-34 Binary Street Yatala","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000103,-35.310654,149.1899,"18/20 Brindabella Circuit Canberra Airport","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000110,-34.960675,138.546775,"Motorola Warehouse 2/59-63 Mooringe Avenue Plympton","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000111,-34.920567,138.627894,"Motorola Solutions Australia 2/54 Sydenham Road Norwood","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000117,-12.538495,130.919425,"INPEX Tower off Wickham Point Road BLAYDIN POINT","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000118,-27.98628,153.410894,"Target Southport Cnr Ferry and Benowa Rd Southport","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000120,-34.036375,150.76302,"Ultimate Karting 40 Anderson Rd Smeaton Grange","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000121,-27.508549,152.971234,"35 Victoria Ave Chelmer","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000122,-27.801404,153.248339,"River Run Circuit Ormeau Hills","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000123,-27.829237,153.29689,"Nambucca Cres  Pimpama","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000124,-27.824605,153.328912,"Gainsborough Green Yawalpah Rd Pimpama","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000125,-27.91047,153.2681,"Riverstone Crossing Upper Coomera","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000126,-27.721064,153.164475,"The Vale Ridgevale Blvd Holmview","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000127,-27.889897,153.366495,"Serenity Cove Serenity Cove Serenity Blvd Helensvale","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000128,-37.663983,145.00737,"CityLife Church Whittlesea 70 Kingsway Drive Lalor","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
10000129,-27.420085,153.036127,"19 - 23 Felix St Lutwyche","Height data not found in device_details.csv - MANUAL REVIEW REQUIRED"
